samp_name	initial	after_filt	after_rare	mapped
17	21	21	21	6
3	234	233	233	146
10	354	353	353	157
2	345	345	345	187
16	86619	86592	86592	73068
1	187232	185062	100206	81716
6	1610	1594	1594	1196
15	98531	98424	98424	73450
5	333	333	333	160
18	117008	116787	99914	44716
13	111979	111385	100102	79362
12	450	448	448	250
11	456	456	456	261
