samples_name,Type 1,Type 2
10_S9,case,rus
11_S12,case,rus
12_S14,case,rus
13_S16,case,rus
15_S4,case,rus
16_S6,case,rus
17_S8,case,rus
18_S10,case,rus
1_S11,case,rus
2_S13,case,rus
3_S15,case,rus
5_S3,case,rus
6_S5,case,rus
