samples_name,Type 1,Type 2
10,case,rus
11,case,rus
12,case,rus
13,case,rus
15,case,rus
16,case,rus
17,case,rus
18,case,rus
1,case,rus
2,case,rus
3,case,rus
5,case,rus
6,case,rus
