mean.percentage.abundances	standard.deviation
k__Bacteria; p__TM7; c__TM7-3; o__; f__	0.00160914437056445	0.00270787626903384
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__EtOH8	0.00156383047208503	0.00423085796068506
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae	0.00150778672025504	0.00539462545639672
k__Bacteria; p__Firmicutes; c__Clostridia; o__Natranaerobiales; f__	0.00150313355414954	0.0027922222320118
k__Bacteria; p__; c__; o__; f__	0.00128272523158618	0.0103209361734672
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae	0.00124156085004728	0.00504296497768971
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Syntrophomonadaceae	0.0012119302003256	0.00873377547495513
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae	0.00115689159520584	0.00910596476110883
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae	0.00102510133797841	0.00199784772279617
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Caldicoprobacteraceae	0.00102193513999746	0.0018314366747095
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae	0.00100536866868979	0.0091040005008025
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__SBYG_4172	0.000841624873705438	0.00207488134281007
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae	0.000730560419735845	0.00222104617404925
k__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__E2; f__[Methanomassiliicoccaceae]	0.000586286576008738	0.0027250799024232
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__	0.000497342998594955	0.00177880015855972
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dietziaceae	0.000459911535294052	0.00224189880843446
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae	0.000458161550064881	0.00202760422115741
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae	0.000446622347735227	0.00152236011310382
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae	0.000438962379398938	0.00140577761618605
k__Bacteria; p__Verrucomicrobia; c__Verruco-5; o__WCHB1-41; f__RFP12	0.000398876173766807	0.00361197737588506
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae	0.000392829115222563	0.00170264540569805
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae	0.000360752099369157	0.00185576491895677
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae	0.000355052932604669	0.00127964181920886
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__	0.000332839927807659	0.00141660800515304
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae	0.000327477949337429	0.00156819214396739
k__Bacteria; p__Firmicutes; c__Clostridia; o__MBA08; f__	0.00028966927835002	0.000930823571381757
k__Bacteria; p__TM7; c__TM7-3; o__CW040; f__	0.000267660427595927	0.00108480710268923
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae	0.000263370568314666	0.000768121497245768
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae	0.00023440793841067	0.0013360817095068
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.000167319074314398	0.00112583056654307
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria	0.000159034152739604	0.000913708835249735
k__Bacteria; p__TM7; c__TM7-3; o__CW040; f__F16	0.000147377701127726	0.000654532144629809
k__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__	0.0001336758452689	0.000470631560708455
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__	0.000127720859791505	0.000848966585616611
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]	0.0001200461728011	0.000637301172948766
k__Bacteria; p__Actinobacteria; c__OPB41; o__; f__	0.000118212500975976	0.000697502297985382
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae	0.000104576876558745	0.000389570149190739
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae	0.000104247182075135	0.000729744382682082
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae	9.88993003902501e-05	0.000470586601831352
k__Bacteria; p__TM7; c__TM7-3; o__I025; f__Rs-045	9.5161812661304e-05	0.000495043835664398
k__Bacteria; p__Firmicutes; c__Clostridia; o__Natranaerobiales; f__Anaerobrancaceae	9.38265975135997e-05	0.000424803946294278
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Halothiobacillaceae	9.06026890877029e-05	0.00082044224424007
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__VC21_Bac22	9.01000939219185e-05	0.000579931096742009
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae	8.62274303459767e-05	0.000637097022822744
k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae	8.28998591806841e-05	0.000750690152778451
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Thiotrichaceae	7.75996957231948e-05	0.000354185274167147
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Frankiaceae	7.20075750724515e-05	0.000322807499547721
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Marinilabiaceae	7.12581626225628e-05	0.000645270106783335
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__	7.12581626225628e-05	0.000645270106783335
k__Bacteria; p__Tenericutes; c__Mollicutes; o__; f__	7.12581626225628e-05	0.000645270106783335
k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Stramenopiles; f__	7.02227794270163e-05	0.000635894313182105
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae	6.82397288971807e-05	0.000617937026886057
k__Bacteria; p__WPS-2; c__; o__; f__	6.37911935619063e-05	0.000577653826124534
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__SC-I-84; f__	6.31322047148625e-05	0.000437576754451605
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobacteraceae	5.85052265643673e-05	0.000529787359134334
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Sporichthyaceae	5.74909952432924e-05	0.000311928461927479
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RsaHF231; f__	5.74564049526776e-05	0.000520289875499281
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae	5.67135489958388e-05	0.0002965467600274
k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae	5.62015587167506e-05	0.000367316693901053
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae	5.56583856724227e-05	0.000354189798164922
k__Bacteria; p__TM7; c__TM7-3; o__EW055; f__	5.52594265531538e-05	0.000361794580343014
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__MLE1-12; f__	5.46704390016026e-05	0.000358709638695117
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__	5.1531517719983e-05	0.000345135179297918
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Acholeplasmatales; f__Acholeplasmataceae	5.07516300794854e-05	0.000264002255450173
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae	5.00888074556208e-05	0.000453573442620654
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae	4.59362526005995e-05	0.000300954361505124
k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Cryptophyta; f__	4.48210006108209e-05	0.000405871422807675
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__SUP05	4.48210006108209e-05	0.000405871422807675
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__Cardiobacteriaceae	4.37126394772069e-05	0.000298692773809776
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__	4.09132484447461e-05	0.000276284971695708
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Kineosporiaceae	3.73136914732815e-05	0.00023753052831216
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiopsaceae	3.41198644486513e-05	0.00030896851344358
k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__	3.21694635870424e-05	0.000291306882467957
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae	3.18955967809532e-05	0.000288826913062267
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae	3.00172839520666e-05	0.000271818066986795
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Francisellaceae	2.8025099278902e-05	0.000253778067504994
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__	2.76332863935207e-05	0.000250230050925783
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae	2.76332863935207e-05	0.000250230050925783
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__HTCC2188	2.76332863935207e-05	0.000250230050925783
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__34P16; f__	2.50444037278104e-05	0.000226786721310327
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae	2.24105003054714e-05	0.00020293571140439
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__OM60	2.24105003054714e-05	0.00020293571140439
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae	2.15995783762295e-05	0.000195592501018143
k__Bacteria; p__Verrucomicrobia; c__Verruco-5; o__MSBL3; f__	1.90296043555027e-05	0.000172320396465454
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae	1.887994357159e-05	0.000170965160427049
k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075	1.7987701448796e-05	0.00016288556436868
k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__; f__	1.7987701448796e-05	0.00016288556436868
k__Bacteria; p__WWE1; c__[Cloacamonae]; o__[Cloacamonales]; f__MSBL8	1.7440787653896e-05	0.000157933049318501
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae	1.74116532713317e-05	0.000157669226263619
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae	1.74116532713317e-05	0.000157669226263619
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Crenotrichaceae	1.7384102794257e-05	0.000157419746082968
k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae	1.63265572677876e-05	0.000147843264039673
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__	1.59477983904766e-05	0.000144413456531133
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae	1.56842374041404e-05	0.000142026810292472
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae	1.52113880969496e-05	0.000137744977703558
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Bogoriellaceae	1.50086419760943e-05	0.000135909033493949
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Pelagibacteraceae	1.50086419760943e-05	0.000135909033493949
k__Bacteria; p__Firmicutes; c__Bacilli; o__Haloplasmatales; f__Haloplasmataceae	1.42232093762142e-05	0.000128796638801986
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__	1.42232093762142e-05	0.000128796638801986
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Desulfuromonadaceae	1.42232093762142e-05	0.000128796638801986
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Beutenbergiaceae	1.34357820673167e-05	0.000121666181251633
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae	1.34108120648831e-05	0.000121440068262697
