	sequences per sample	iteration	180.S53.L001.R1.27	231.S73.L001.R1.49	55.S16.L001.R1.81	37.S9.L001.R1.73	218.S67.L001.R1.43	230.S72.L001.R1.48	288.S89.L001.R1.64	302.S93.L001.R1.69	80.S25.L001.R1.92	52.S15.L001.R1.80	197.S62.L001.R1.36	7.S3.L001.R1.87	133.S37.L001.R1.10	270.S85.L001.R1.60	88.S28.L001.R1.95	264.S83.L001.R1.58	216.S65.L001.R1.41	281.S87.L001.R1.62	181.S54.L001.R1.28	57.S17.L001.R1.82	63.S19.L001.R1.83	305.S96.L001.R1.72	227.S69.L001.R1.45	79.S24.L001.R1.91	178.S51.L001.R1.24	82.S26.L001.R1.93	278.S86.L001.R1.61	223.S68.L001.R1.44	122.S35.L001.R1.7	242.S77.L001.R1.53	291.S90.L001.R1.65	217.S66.L001.R1.42	183.S55.L001.R1.29	4.S2.L001.R1.74	229.S71.L001.R1.47	294.S92.L001.R1.67	176.S47.L001.R1.23	283.S88.L001.R1.63	87.S27.L001.R1.94	228.S70.L001.R1.46	292.S91.L001.R1.66	142.S41.L001.R1.14	76.S23.L001.R1.90	46.S11.L001.R1.76	166.S46.L001.R1.20	69.S20.L001.R1.86	175.S50.L001.R1.22	201.S63.L001.R1.39	51.S14.L001.R1.79	186.S78.L001.R1.31	232.S74.L001.R1.50	241.S76.L001.R1.52	252.S79.L001.R1.54	184.S56.L001.R1.30	99.S31.L001.R1.97	179.S52.L001.R1.25	199.S61.L001.R1.37	94.S29.L001.R1.96	43.S10.L001.R1.75	120.S34.L001.R1.6	187.S57.L001.R1.32	13.S5.L001.R1.8	67.S18.L001.R1.84	30.S8.L001.R1.68	134.S38.L001.R1.11	253.S80.L001.R1.55	266.S84.L001.R1.59	303.S94.L001.R1.70	68.S30.L001.R1.85	132.S36.L001.R1.9	49.S13.L001.R1.78	108.S32.L001.R1.3	304.S95.L001.R1.71	168.S48.L001.R1.21	191.S59.L001.R1.34	189.S58.L001.R1.33	109.S33.L001.R1.4	207.S64.L001.R1.40	18.S6.L001.R1.26	1.S1.L001.R1.2	20.S7.L001.R1.38	74.S22.L001.R1.89	261.S81.L001.R1.56	263.S82.L001.R1.57	135.S39.L001.R1.12	47.S12.L001.R1.77	153.S44.L001.R1.17	234.S75.L001.R1.51	73.S21.L001.R1.88	152.S43.L001.R1.16	194.S60.L001.R1.35	141.S40.L001.R1.13	158.S49.L001.R1.19	12.S4.L001.R1.5	154.S45.L001.R1.18	144.S42.L001.R1.15
alpha_rarefaction_1478_0.txt	1478	0	855.609375	1765.8	1371.15909091	819.8	1708.83333333	907.21	720.513888889	622.466666667	1012.22077922	1075.3125	915.029850746	1412.98648649	1333.67073171	999.083333333	1092.32911392	1039.04166667	1172.60344828	587.0	932.227272727	905.960784314	664.5	733.365853659	1184.0	813.365853659	837.935483871	1031.41791045	835.75	904.875	846.762711864	961.441558442	1024.89189189	835.953125	678.564516129	982.559322034	915.47826087	997.278481013	957.529411765	494.837209302	714.846153846	1087.01333333	734.217391304	960.725806452	966.238095238	929.3	918.753623188	775.85	857.285714286	922.12	760.283018868	922.368421053	983.872727273	801.147540984	910.4	840.651162791	837.75	867.783783784	942.494505495	895.346153846	909.328125	939.590163934	1036.125	918.158536585	1025.42424242	869.6375	782.893617021	1012.875	980.0	671.275	804.641791045	914.881578947	1224.38028169	848.613636364	781.596491228	810.442857143	802.368421053	942.820895522	985.898305085	815.484375	905.517241379	734.0	903.181818182	1005.19148936	854.68	1050.04285714	649.554054054	1077.59210526	848.081967213	812.0	848.846153846	880.95890411	952.153846154	851.8	n/a	860.901639344	850.270833333	814.448979592
alpha_rarefaction_1478_1.txt	1478	1	856.6375	1777.26315789	1526.36904762	883.846153846	1755.8877551	973.378947368	810.115384615	554.777777778	999.863013699	893.223684211	933.253521127	1508.09090909	1549.48	869.12345679	1174.56451613	981.0	991.916666667	695.58490566	947.876712329	1093.63829787	787.982142857	1039.47826087	865.804347826	666.0	846.158730159	994.467741935	799.568965517	805.109090909	936.170212766	956.31884058	912.0	777.424242424	740.245283019	898.041666667	912.458333333	896.3875	937.230769231	630.6	711.985074627	712.554216867	762.386363636	877.585365854	955.046153846	1074.28358209	869.181818182	761.014705882	768.189873418	806.692307692	669.564516129	811.123076923	809.584415584	766.493150685	879.5	717.125	895.4	866.2	1023.58441558	894.076923077	871.0	875.835820896	823.573170732	1039.04	1025.13888889	787.214285714	689.02173913	872.613333333	868.481481481	605.226415094	936.486486486	910.48	1116.94186047	841.259259259	900.096774194	744.769230769	791.9	845.987012987	813.785714286	832.958333333	975.723684211	804.93220339	1003.21666667	1034.08450704	1117.63076923	995.397590361	826.064516129	1052.08333333	948.6	865.353846154	888.125	866.467532468	906.0	755.222222222	n/a	868.850746269	802.12244898	830.12244898
alpha_rarefaction_1478_2.txt	1478	2	998.267857143	1795.20212766	1550.15853659	853.509090909	1830.01980198	1052.98701299	1017.56	632.132075472	923.048192771	1008.28	1001.83783784	1470.29411765	1432.88	1017.64705882	977.285714286	921.158730159	806.858974359	693.784313725	756.411764706	951.015625	872.06	744.761904762	966.833333333	688.571428571	921.282608696	830.887323944	684.753424658	775.818181818	859.051724138	876.304347826	1000.83783784	848.057692308	911.775510204	920.09375	834.452054795	1052.36363636	813.086956522	570.538461538	788.509090909	992.4375	624.142857143	1024.0	944.015625	1027.57894737	953.52173913	900.631578947	977.567567568	1052.4	614.553846154	917.714285714	894.088235294	893.0	818.0	743.4375	891.705128205	1034.4	831.037037037	835.0625	866.181818182	806.948275862	805.406976744	1056.01408451	893.618421053	872.119402985	736.170731707	869.47826087	976.397590361	637.782608696	971.333333333	967.117647059	1113.75362319	972.418918919	881.264150943	852.561643836	716.560606061	866.333333333	850.138888889	853.050847458	918.530120482	739.849056604	942.241935484	986.875	1181.23076923	995.373333333	656.015873016	1067.18181818	889.725490196	941.161290323	1108.90625	984.121621622	826.059701493	844.037735849	n/a	860.181818182	771.559322034	825.529411765
alpha_rarefaction_1478_3.txt	1478	3	992.887096774	1694.86734694	1430.61111111	761.685714286	1810.38461538	1058.92405063	788.593220339	525.918367347	960.185714286	853.375	837.558441558	1473.28409091	1490.91566265	1042.67164179	1017.32894737	1022.10909091	903.333333333	748.3125	1031.80882353	1077.5	788.625	884.378787879	890.06741573	713.3	771.5	885.985915493	819.188405797	788.509090909	922.948275862	836.558441558	777.493150685	744.353846154	716.166666667	925.344827586	883.630136986	932.53125	1049.67241379	549.523809524	711.786885246	950.208333333	685.442307692	874.411764706	953.130434783	872.608108108	770.888888889	909.047619048	926.971014493	948.454545455	820.529411765	926.610169492	812.661764706	798.227272727	876.958333333	781.12244898	906.28358209	874.884057971	1136.07594937	991.083333333	792.363636364	809.484375	928.049180328	1033.38356164	1135.88888889	789.077922078	814.382978723	903.846153846	918.232876712	624.227272727	941.75	1084.36363636	1113.26190476	818.528089888	838.318181818	778.012345679	756.196721311	844.513157895	782.841463415	910.781818182	1216.88888889	691.045454545	964.147058824	1025.46753247	874.181818182	1221.47761194	758.571428571	1109.26923077	703.383561644	1025.24528302	942.887323944	906.549295775	869.671875	792.109090909	n/a	903.590909091	816.055555556	912.023255814
alpha_rarefaction_1478_4.txt	1478	4	889.016949153	1760.90625	1346.55421687	768.84375	1648.02857143	1027.84615385	769.385964912	603.488372093	993.53164557	976.0	888.081081081	1643.01538462	1243.40625	917.703703704	1138.91549296	771.488372093	836.142857143	728.020408163	1073.51612903	835.75	679.055555556	806.080645161	823.213333333	634.838709677	803.940298507	915.514705882	854.017241379	669.014285714	827.620689655	827.505617978	990.929577465	824.373134328	664.333333333	750.1875	844.243589744	1016.0	833.918918919	496.12244898	753.909090909	796.558139535	754.982758621	928.563380282	854.68	858.838235294	877.590163934	826.482758621	981.083333333	951.0	882.226415094	895.590909091	763.31884058	727.973684211	902.172413793	791.255319149	957.04	940.970588235	979.898734177	919.135135135	883.163934426	870.086956522	1012.08823529	960.756097561	884.0	892.571428571	599.944444444	983.75	1041.38709677	603.733333333	936.878378378	982.121621622	1134.13157895	1019.01449275	809.948275862	837.015873016	742.424242424	911.041666667	840.918918919	793.630769231	1055.36363636	784.918367347	853.397058824	1093.69620253	995.043478261	1097.24615385	794.642857143	1001.37349398	846.318181818	841.263157895	942.0	931.269230769	856.75	690.205479452	n/a	822.9	695.352941176	807.5
alpha_rarefaction_1478_5.txt	1478	5	924.285714286	1684.31	1285.01136364	709.973684211	1664.05769231	1094.81707317	930.5	593.0	978.72972973	979.649350649	890.346153846	1111.53846154	1410.66666667	1007.21428571	865.6875	1007.21666667	779.986486486	630.333333333	1058.35	739.541666667	698.559322034	913.344827586	799.833333333	596.666666667	902.553846154	894.642857143	791.964912281	826.448979592	904.333333333	938.563380282	1041.52459016	777.616438356	759.396226415	833.126760563	863.369863014	1060.72368421	913.0	487.294117647	816.93220339	923.181818182	753.02	1122.60714286	889.081081081	850.43373494	729.125	778.380952381	927.518518519	804.515151515	775.509090909	1004.85714286	821.338235294	889.016666667	821.34375	733.466666667	940.886363636	899.407407407	993.121621622	777.259259259	727.205128205	833.652173913	974.015151515	1041.33333333	956.151515152	804.126582278	667.962264151	913.049180328	897.26744186	600.270833333	910.0	1084.59090909	1060.625	911.0	746.266666667	874.421875	772.85	837.205128205	853.539473684	720.878787879	920.081395349	1008.59090909	822.880597015	1036.20833333	861.291666667	1038.01428571	757.62295082	987.066666667	878.105263158	779.6	1001.32894737	969.537313433	1086.88888889	724.372881356	n/a	848.935483871	738.172413793	825.375
alpha_rarefaction_1478_6.txt	1478	6	688.166666667	1699.86597938	1460.86666667	841.428571429	1821.28	1014.51219512	791.524590164	535.234042553	996.961538462	966.222222222	1053.43859649	1225.27631579	1442.5625	1019.625	1104.01351351	953.901639344	1095.89830508	657.25	1053.55384615	863.245283019	733.6	905.553846154	877.794520548	607.722222222	871.016666667	1062.35384615	635.045454545	845.444444444	863.518518519	869.608108108	951.602409639	788.765625	704.786885246	925.545454545	869.970588235	1089.5	954.638888889	551.022222222	977.306122449	1122.78688525	647.966666667	949.8	891.058823529	1177.0	945.970588235	700.0	762.7	918.25	756.754098361	934.513888889	865.051724138	793.327868852	899.263888889	721.472727273	998.682926829	882.630136986	1066.18181818	940.108108108	678.443037975	885.794117647	918.095238095	940.702702703	1046.52941176	760.0	646.117647059	836.492537313	1007.859375	721.303030303	846.764705882	1128.39705882	973.101123596	926.9375	785.096774194	802.347826087	839.459016393	874.95890411	887.047619048	789.863013699	1153.34782609	653.514705882	805.567567568	989.835294118	903.232876712	923.505617978	734.890625	1007.03658537	972.12244898	822.511904762	1197.85	851.072289157	774.52173913	838.058823529	n/a	955.542372881	793.019230769	859.103448276
alpha_rarefaction_1478_7.txt	1478	7	927.1	1462.55172414	1522.67901235	809.508196721	1630.02608696	945.0	860.245283019	528.411764706	1082.13333333	1174.88059701	776.878378378	1563.05084746	1569.09210526	1090.28358209	1057.22058824	893.134328358	902.642857143	614.2	929.671641791	912.238095238	616.369863014	847.518518519	804.760869565	700.306122449	888.5	776.235294118	763.0	908.404255319	671.808823529	900.026315789	857.721518987	836.940298507	843.784313725	873.615384615	935.676056338	909.817073171	939.878378378	556.133333333	737.015873016	857.01754386	697.666666667	975.714285714	1028.14754098	974.0	891.878787879	824.188405797	900.630136986	787.661290323	736.949152542	819.803278689	946.047619048	965.346938776	973.09375	675.862068966	981.0	997.214285714	1161.27272727	935.442857143	784.911764706	1003.15789474	963.590163934	1028.0	849.253012048	887.058823529	794.882352941	848.838235294	959.513888889	678.0	897.241935484	959.898734177	1201.12676056	912.458333333	756.75	835.718309859	942.055555556	894.642857143	992.362068966	932.385964912	1012.26190476	738.654545455	804.567567568	1148.27631579	942.513888889	1161.01515152	743.015873016	1022.16666667	786.942857143	884.272727273	1155.51785714	1131.03389831	954.118644068	820.018181818	n/a	963.948275862	695.693548387	769.654545455
alpha_rarefaction_1478_8.txt	1478	8	780.0	1520.05504587	1564.6097561	830.721311475	1758.75925926	930.206896552	874.62	598.608695652	1187.16438356	1043.2173913	922.3	1861.01612903	1278.03370787	769.387096774	957.988372093	892.076923077	812.35443038	601.016949153	1013.88135593	981.381818182	712.35	798.142857143	773.802197802	676.615384615	868.5	982.238095238	754.616438356	944.352941176	935.842105263	925.379310345	797.337349398	978.593220339	793.56	935.93220339	908.25	991.121621622	828.333333333	599.914893617	759.620689655	880.875	887.571428571	1078.91666667	1004.55384615	1166.18181818	908.029850746	720.714285714	955.158730159	807.90625	885.695652174	1092.38095238	856.051724138	761.196721311	796.576923077	821.227272727	908.458333333	939.671641791	924.407407407	1064.09677419	812.153846154	754.835820896	930.09375	982.015151515	896.214285714	758.265060241	641.625	792.043478261	981.52173913	595.243902439	929.545454545	1024.01315789	961.978494624	934.101265823	790.661290323	790.380952381	783.080645161	860.721518987	919.181818182	756.615384615	1082.36842105	952.788461538	925.323076923	931.602040816	810.563380282	923.617977528	664.637931034	884.475247525	740.78125	935.762711864	1092.10526316	937.577464789	848.064516129	850.75	n/a	880.878787879	728.372881356	663.278688525
alpha_rarefaction_1478_9.txt	1478	9	892.047619048	1736.48913043	1433.2967033	709.029411765	1815.16513761	1125.71428571	759.084745763	687.783783784	1013.8961039	1015.41891892	893.710144928	1417.01408451	1653.68	993.576923077	1110.13513514	867.95890411	922.323076923	775.142857143	962.230769231	903.518518519	930.125	746.442857143	899.04	574.873015873	891.518518519	920.25	809.246153846	667.0	819.192307692	896.058823529	847.814814815	710.430769231	815.188679245	1026.18518519	824.47826087	949.443181818	762.247191011	663.75	714.846153846	860.514285714	821.882352941	910.15625	869.085714286	977.046153846	799.928571429	835.721311475	841.623188406	782.068965517	794.130434783	813.897058824	1119.67857143	822.246153846	963.090909091	695.5	978.0	1014.49315068	959.804878049	910.048192771	773.068493151	854.779411765	989.328125	1010.53333333	993.088235294	906.789473684	696.0	887.049180328	877.776315789	755.666666667	991.263157895	1008.21428571	1312.9516129	869.193548387	787.185185185	845.764705882	924.942307692	918.638888889	911.4375	714.084507042	1029.51851852	771.018867925	851.833333333	928.863636364	1059.65217391	1158.09589041	738.358208955	1037.42528736	846.28125	941.956521739	970.956521739	930.785714286	820.337837838	1028.65	n/a	890.451612903	677.018181818	837.017857143
