	sequences per sample	iteration	180.S53.L001.R1.27	231.S73.L001.R1.49	55.S16.L001.R1.81	37.S9.L001.R1.73	218.S67.L001.R1.43	230.S72.L001.R1.48	288.S89.L001.R1.64	302.S93.L001.R1.69	80.S25.L001.R1.92	52.S15.L001.R1.80	197.S62.L001.R1.36	7.S3.L001.R1.87	133.S37.L001.R1.10	270.S85.L001.R1.60	88.S28.L001.R1.95	264.S83.L001.R1.58	216.S65.L001.R1.41	281.S87.L001.R1.62	181.S54.L001.R1.28	57.S17.L001.R1.82	63.S19.L001.R1.83	305.S96.L001.R1.72	227.S69.L001.R1.45	79.S24.L001.R1.91	178.S51.L001.R1.24	82.S26.L001.R1.93	278.S86.L001.R1.61	223.S68.L001.R1.44	122.S35.L001.R1.7	242.S77.L001.R1.53	291.S90.L001.R1.65	217.S66.L001.R1.42	183.S55.L001.R1.29	4.S2.L001.R1.74	229.S71.L001.R1.47	294.S92.L001.R1.67	176.S47.L001.R1.23	283.S88.L001.R1.63	87.S27.L001.R1.94	228.S70.L001.R1.46	292.S91.L001.R1.66	142.S41.L001.R1.14	76.S23.L001.R1.90	46.S11.L001.R1.76	166.S46.L001.R1.20	69.S20.L001.R1.86	175.S50.L001.R1.22	201.S63.L001.R1.39	51.S14.L001.R1.79	186.S78.L001.R1.31	232.S74.L001.R1.50	241.S76.L001.R1.52	252.S79.L001.R1.54	184.S56.L001.R1.30	99.S31.L001.R1.97	179.S52.L001.R1.25	199.S61.L001.R1.37	94.S29.L001.R1.96	43.S10.L001.R1.75	120.S34.L001.R1.6	187.S57.L001.R1.32	13.S5.L001.R1.8	67.S18.L001.R1.84	30.S8.L001.R1.68	134.S38.L001.R1.11	253.S80.L001.R1.55	266.S84.L001.R1.59	303.S94.L001.R1.70	68.S30.L001.R1.85	132.S36.L001.R1.9	49.S13.L001.R1.78	108.S32.L001.R1.3	304.S95.L001.R1.71	168.S48.L001.R1.21	191.S59.L001.R1.34	189.S58.L001.R1.33	109.S33.L001.R1.4	207.S64.L001.R1.40	18.S6.L001.R1.26	1.S1.L001.R1.2	20.S7.L001.R1.38	74.S22.L001.R1.89	261.S81.L001.R1.56	263.S82.L001.R1.57	135.S39.L001.R1.12	47.S12.L001.R1.77	153.S44.L001.R1.17	234.S75.L001.R1.51	73.S21.L001.R1.88	152.S43.L001.R1.16	194.S60.L001.R1.35	141.S40.L001.R1.13	158.S49.L001.R1.19	12.S4.L001.R1.5	154.S45.L001.R1.18	144.S42.L001.R1.15
alpha_rarefaction_1478_0.txt	1478	0	27.84644	50.99815	43.43116	28.63086	50.26464	35.87479	28.18176	23.34234	33.96649	30.47215	31.19339	42.58463	41.61234	34.31543	37.45956	31.3795	32.20362	23.95149	31.04004	29.00613	22.3748	30.99677	31.98422	23.50877	29.33649	29.38251	29.34939	29.86763	26.7916	34.46389	31.15546	29.25392	23.39889	30.51498	30.11281	35.73702	29.99252	17.41296	26.34425	32.92031	22.87572	30.82763	28.83942	28.70944	30.51131	28.59297	32.02283	29.59438	27.20845	29.27715	33.42254	25.37033	28.66224	25.75802	31.29651	33.02218	34.46246	33.3644	27.348	33.43225	32.62167	32.05301	33.77356	29.72126	26.36432	32.2846	33.85112	22.24024	29.96709	32.31482	36.88779	31.95346	27.04132	29.83398	28.65282	32.24289	31.64495	29.61727	32.23631	26.10569	29.44898	35.97479	31.39225	34.02865	25.31643	33.47361	30.58381	28.42729	33.43358	30.7537	27.11928	30.17502	n/a	27.62268	27.47464	27.7534
alpha_rarefaction_1478_1.txt	1478	1	29.69115	50.96012	42.66741	27.66467	49.81041	36.78704	25.82241	24.47179	34.47753	31.18865	32.54321	42.30916	41.39781	34.35361	35.23323	30.77807	30.85672	24.62687	31.81395	28.3597	24.00791	29.56844	33.76186	23.10617	29.75932	28.34685	27.0071	28.63759	27.1684	33.86654	28.75449	30.05237	24.41775	30.13684	32.10549	34.47942	29.50471	17.77605	26.54135	29.15187	22.66742	31.01664	27.80122	29.0438	30.92789	27.36072	31.1617	29.62233	26.17973	30.06933	32.95576	26.8876	28.90615	25.76038	31.64252	34.31495	34.50132	33.00487	27.3935	33.58864	31.25622	31.86072	33.07913	28.299	24.8218	32.25662	34.413	22.6903	32.07484	31.10731	36.37329	32.46745	29.5545	28.5473	29.83567	33.65901	30.25688	29.81325	31.41598	27.63953	28.45438	34.42642	34.49573	34.56243	26.80259	33.8058	30.28932	29.06705	34.39059	30.34608	27.21203	30.00875	n/a	29.28059	27.61744	27.791
alpha_rarefaction_1478_2.txt	1478	2	27.55345	50.30351	44.08671	26.71451	51.9641	36.7006	27.53868	24.59783	34.61171	31.90945	33.44527	43.76625	41.90534	36.01582	34.14307	29.11276	29.66482	23.90326	30.09426	30.4878	22.84356	29.5032	34.94879	23.11154	28.58083	27.32522	27.68567	28.64367	26.41414	31.76448	30.36821	28.69325	24.19901	28.68119	30.66408	37.26743	27.72215	18.29481	26.50165	30.79375	23.2684	31.77365	29.01066	29.31516	32.13724	28.85736	32.34386	29.42191	26.49996	28.9125	32.3243	26.46816	28.33295	24.77052	31.05006	35.3643	34.12431	33.66007	26.74567	32.21264	30.68558	31.98046	33.71039	27.40332	25.36502	30.74732	34.61208	22.52904	30.52121	33.43739	35.56397	33.0058	28.03386	29.37867	29.4363	34.8494	31.05052	30.69984	32.11399	25.94314	27.94789	35.16661	33.67247	35.36164	24.5867	33.56487	29.66374	30.25436	34.10054	31.63934	26.57109	30.50687	n/a	27.30092	26.37751	26.81206
alpha_rarefaction_1478_3.txt	1478	3	29.69905	49.01327	44.37743	28.27733	51.30915	37.43355	26.37497	22.9848	34.39756	30.49558	31.7681	46.42743	42.8807	34.16933	36.18886	29.52749	27.09583	23.98504	32.13802	30.267	21.66994	31.57972	33.01414	23.71364	28.40848	27.78529	28.47245	27.99716	27.06568	32.28804	27.71881	28.11662	22.80058	28.46425	32.14096	37.32536	30.51342	18.0397	26.43957	30.14811	22.97959	30.92134	28.4281	28.82337	29.71557	28.03287	31.5159	29.51687	26.80497	28.55643	31.2707	26.08542	29.37998	26.93029	31.27971	33.28085	34.77616	33.55075	28.49954	32.02678	30.59347	32.82634	33.50909	28.58192	26.88548	31.31754	33.80474	22.51166	29.70903	34.8145	36.74587	32.10856	27.63683	29.46369	28.51252	34.94138	30.77787	29.33322	33.68417	27.06792	28.7241	35.02145	32.75509	35.1984	25.26758	32.74207	30.70672	28.88951	34.19521	31.09773	25.86664	29.36234	n/a	28.51712	27.64599	27.27923
alpha_rarefaction_1478_4.txt	1478	4	26.63583	49.15777	41.63935	27.75869	51.2063	37.54825	26.73376	23.45064	34.31787	31.03193	31.9509	43.60249	43.35509	35.24113	35.89827	29.73234	28.96382	25.08514	31.27537	29.26981	22.30773	30.28591	31.64427	23.81006	31.12637	28.09245	27.51746	27.5576	26.82902	32.8379	29.36823	29.44921	22.66973	28.93186	31.34332	34.68998	28.99551	18.12721	25.37284	31.36552	23.2006	31.73053	28.76282	28.34449	29.9582	28.3778	33.69623	29.45474	28.39662	28.19729	29.95514	27.08693	27.35604	26.39295	32.71446	33.38394	35.049	34.39972	27.33486	33.62693	32.071	31.11017	32.67661	28.14989	24.66067	30.85284	34.21073	22.36583	31.55881	33.02368	36.31475	33.06283	26.87242	29.37707	28.19652	34.27996	31.72799	29.38485	33.45478	26.37231	28.08537	35.82187	33.76976	33.93642	26.19681	31.98474	30.58957	29.03549	33.62534	32.18604	27.23673	29.42078	n/a	28.06048	26.8298	27.19984
alpha_rarefaction_1478_5.txt	1478	5	29.53545	50.74673	42.03992	27.52333	53.49273	37.6926	26.54067	22.97832	33.56044	32.38253	33.64392	43.04579	43.40891	34.12329	35.21345	29.1582	29.51367	23.66984	30.86213	28.76961	23.1829	29.40633	32.28909	22.05115	31.03432	29.12122	27.6234	28.74965	28.89449	33.5093	29.57448	30.11775	23.17909	29.84781	30.52842	36.41557	28.15856	18.53245	26.47806	29.90176	22.99323	30.03675	29.39444	28.88178	30.19455	27.5419	33.09741	28.83294	27.72436	28.79308	32.78692	26.59359	27.84209	25.84364	32.55744	34.65659	35.05758	31.47823	27.36959	32.48535	31.73727	32.64847	32.04414	29.1089	24.77186	31.50753	33.72107	22.54556	30.55225	33.40662	36.11702	32.85678	27.00337	29.79278	28.83384	33.36863	30.22434	28.90967	32.48924	27.07721	28.59134	34.43916	31.99391	34.06799	25.67026	34.27025	30.22139	28.36645	35.07791	31.53974	28.14879	29.24334	n/a	26.96134	27.63269	28.92193
alpha_rarefaction_1478_6.txt	1478	6	26.4441	51.9205	43.68424	28.10438	52.14724	36.55819	27.25764	22.64157	34.8977	31.27386	32.00328	43.17421	39.63095	35.4089	36.46445	29.67443	30.02202	25.00365	31.77873	27.93567	24.00022	30.84068	31.76305	22.27712	29.52115	29.78086	27.13932	28.61276	26.55976	32.92763	30.19479	29.13164	23.42271	29.28487	31.99492	35.19498	30.34174	18.09412	26.87859	31.05135	23.80536	32.49653	28.54496	30.1878	30.92523	26.92748	32.28973	28.04337	28.11001	29.64511	31.9771	26.62358	28.97771	26.52921	31.99569	33.15768	35.83383	33.96551	26.48343	33.70043	30.25299	30.4251	33.94327	27.26283	24.58499	30.56473	33.70167	21.70102	29.67299	33.20997	37.15508	33.84757	28.00897	30.18974	29.44356	32.48112	29.82567	29.85717	32.5722	25.5868	27.71828	34.57655	33.45659	34.0603	26.38802	34.47799	30.59114	30.39436	34.65815	31.81162	24.86381	29.14545	n/a	28.67905	26.76585	27.31714
alpha_rarefaction_1478_7.txt	1478	7	26.98216	48.91822	43.41615	27.90909	52.11205	36.18386	26.39515	22.90374	37.0636	32.90102	31.15231	42.37549	40.48562	35.42367	36.32024	30.02487	29.85943	22.96458	31.73785	30.7283	23.27444	31.03622	31.41486	23.78345	29.71047	28.39358	28.38222	27.91638	26.40586	33.2607	29.12197	30.85068	24.913	29.25304	31.21824	34.75355	31.39331	18.37771	26.47909	28.65693	22.94652	29.57387	28.89547	28.32343	31.14017	29.64058	32.39934	29.28246	27.35301	27.78154	33.4972	25.70001	29.4688	25.49617	32.05126	33.83991	35.67258	33.17481	26.52215	33.84166	30.89131	32.17618	33.37565	28.76232	26.05554	32.49203	33.73059	21.65313	29.78447	32.67012	37.00385	32.06221	28.52745	30.22729	30.08253	33.17132	31.8925	29.62575	33.65516	26.26701	27.99125	36.77259	33.21448	35.15024	25.08773	32.78276	29.70379	30.90201	34.46409	31.71606	26.08119	29.69708	n/a	28.48891	27.66313	28.16123
alpha_rarefaction_1478_8.txt	1478	8	27.71305	49.70692	45.32331	27.36306	53.0567	36.12116	25.46081	23.08297	36.20592	31.73943	32.90449	45.77972	41.72947	33.90072	34.98274	29.55437	29.98926	23.91631	31.99997	30.52232	22.1306	31.60514	31.27517	22.99074	28.78888	29.30893	28.10967	29.71687	27.76677	34.31948	28.34372	31.47883	23.88352	28.80173	31.48315	34.56503	29.39526	19.29695	26.09092	30.51849	22.93557	31.09511	28.9126	28.7299	30.24591	28.54689	31.84448	28.57416	27.6315	30.45561	29.85173	26.45369	28.96659	26.19529	31.8503	34.55797	34.54163	34.40615	26.35052	32.89587	30.41822	31.80538	33.45086	28.87383	24.37856	32.27558	33.73935	21.29066	30.59467	33.19326	36.38316	32.93613	28.22986	29.03966	28.39841	33.48729	30.61812	28.12068	32.74182	28.26595	28.54981	36.05328	32.206	33.86526	24.62257	33.33254	28.40098	28.65448	33.92124	31.08645	25.99688	29.3106	n/a	27.87725	26.1817	27.90347
alpha_rarefaction_1478_9.txt	1478	9	28.53909	50.94142	43.97773	27.34644	53.91479	38.05282	26.80708	23.5518	34.58162	31.35927	32.5383	43.72905	44.32288	35.55549	36.56322	29.71977	28.39411	24.39686	32.55564	28.78786	22.76875	29.58476	31.724	22.83967	29.36529	28.31479	27.77533	28.91481	27.26308	32.49391	28.90377	28.76959	23.49861	29.52025	29.4035	37.09875	28.52886	18.4445	26.16779	30.52936	23.60236	28.72459	29.15853	27.25655	30.889	29.44087	30.76036	27.82442	27.02299	27.64407	31.67296	26.82609	28.92905	25.55856	31.55239	34.28904	35.03848	34.21186	26.97641	33.52132	31.64605	31.83063	33.5411	28.79	26.93244	31.39324	34.31783	22.31664	30.46869	31.95583	34.43154	31.48972	27.10328	30.93709	29.78883	34.01102	31.46148	29.00197	33.20186	26.56685	28.11433	35.69028	35.04012	34.95494	26.09128	33.82599	29.68928	28.94086	34.27874	30.97864	27.0829	29.93702	n/a	27.89326	26.69527	28.36724
