AlphaDiversity
024	603.9
058	677.610169492
014	958.35
152	760.068181818
056	676.044776119
005	1000.2295082
030	879.3
408	754.2
008	803.2
007	936
034	782.666666667
1198	877.461538462
036	904.571428571
013	756.46875
010	1028.0212766
004	997
426	879.5
043	953.046875
816k	839.518518519
001	659.454545455
020	709.967741935
015	888.169491525
021	790.111111111
026	703.7
046	1351.70833333
3os	327.444444444
023	912.050847458
059	942.181818182
009	678.089552239
016	1030.22641509
174	724.529411765
047	900.887096774
093	767.28358209
080	973.580645161
094	924.670454545
041	1035.38888889
038	873.072289157
049	784.282608696
054	676.016666667
012	873.111111111
035	875.018181818
sp26	325.5
025	887.904761905
017	821.583333333
018	765.153846154
052d	694.6
832	980.071428571
039	848.542372881
055	866.018181818
051k	672.72
1070	655
037	1062.78846154
081	697.153846154
045	701
083	693.322033898
029	1133.30357143
006	861.146341463
028	1019.72972973
817dist	780.418604651
003	938.789473684
050	863.775862069
101	626.921875
1405	724.685185185
057	509.775
095	758.518518519
082	455.523809524
002	933.75
040	938.466666667
011	775.5
033	708.120689655
032	931.37254902
930	658.818181818
085	882.294117647
044	1033.52083333
812	733.090909091
19.1	287.433333333
4os	213.214285714
15.2	168.461538462
