4306262	256215	184209	4297119	300650	310301	67813	4325533	310760	4429079	548503	4460404	4340138	960184	778478	262708	4456894	4410938	212619	4479600	1071450	263193	256116	363735	199077	338926	786708	511378	4369272	4453484	1135576	193528	4447605	331476	289927	31235	3866487	194079	4375688	4401375	4382476	185949	326968	4472721	4323124	2710761	276484	533787	190502	4451251	327997	298973	4365130	157631	851938	4458304	178984	307366	1087556	4306587	178621	347085	341460	188851	4417708	4391463	4476561	189142	315391	3046870	4304901	252843	184753	4307790	593043	2066056	4338624	4421228	4207913	4360320	188249	198945	3524537	4304528	261705	178018	4440670	332718	295824	4322801	4479602	4393532	2379148	4393962	130663	312311	1880021	3841096	569522	3117556	4352537	576119	2291414	4430826	714766	4437359	257173	1143645	4469233	2307695	180771	363731	568727	4334770	242917	292228	4332878	4319494	960519	307154	2498994	269930	298896	4256470
16	16170	1714	6733	0	4660	1682	4047	2780	266	3379	2576	0	75	328	415	277	248	26	1377	1	128	170	189	435	686	405	192	0	916	0	99	82	0	1	785	0	0	205	0	8	0	573	1	630	672	339	640	74	6	0	268	251	640	307	0	0	290	0	79	0	265	375	0	472	308	0	0	478	158	52	0	0	238	0	370	411	0	0	317	164	20	80	195	0	39	333	0	3	269	49	0	376	0	0	193	14	241	137	217	41	4	276	1	0	0	49	38	14	197	1	12	197	25	9	3	136	185	206	29	184	0	17	2	34
1	1388	2106	10389	0	0	5949	5	1420	6254	0	745	0	177	577	153	385	242	4194	742	32	246	205	227	1756	1312	1767	68	0	414	0	142	1551	9	1567	30	4	6	994	19	1302	0	341	18	32	0	533	15	97	816	7	630	611	0	369	1	0	492	0	82	0	473	254	0	0	353	90	935	0	614	790	0	0	401	1	35	30	818	164	153	106	714	549	327	79	41	189	1	425	13	559	0	0	602	2	174	512	1	253	101	439	28	0	0	0	3	361	39	43	26	425	413	23	33	38	8	152	41	1	62	0	396	18	370	332
15	16927	3530	5452	0	4617	1586	3215	2962	184	3167	2209	0	63	176	447	487	458	20	1265	0	375	357	364	449	598	344	253	0	833	0	180	97	0	2	757	0	0	225	1	5	0	406	3	586	574	368	563	140	0	0	266	261	489	450	0	1	302	0	73	0	301	396	0	523	331	0	1	447	146	47	0	0	201	0	424	380	0	0	331	28	31	122	232	1	91	210	0	0	359	25	0	239	0	0	181	14	299	149	209	33	6	222	0	0	0	59	54	42	214	8	5	212	48	4	2	116	183	202	11	218	0	33	7	26
13	9	3058	9	18364	1	2	7	0	5	0	3	5278	4699	3007	129	505	473	1	2	3074	356	251	279	1	2	2	69	2379	0	2087	178	3	1680	0	5	1578	1479	0	1365	10	1332	0	1292	0	0	0	0	122	238	1181	4	0	0	0	1121	1088	0	1082	111	1068	0	2	970	0	0	897	3	0	0	0	882	856	0	830	1	0	0	632	0	461	2	0	0	659	77	0	718	134	0	1	635	0	0	593	1	0	0	0	2	1	445	3	474	480	467	0	29	33	0	0	0	0	33	371	407	4	0	1	260	0	0	48	4	0
18	3	17726	6	0	2	7	15	0	1	0	2	0	64	222	3218	2668	2875	1	2	0	1868	1856	1755	5	1	5	1844	4	0	1	1175	1	0	0	1	0	2	3	0	5	0	1	0	0	0	0	0	770	29	4	4	0	0	0	0	28	0	0	730	1	0	2	6	0	1	2	0	1	1	0	1	0	0	0	0	1	0	3	0	16	0	5	1	7	486	0	2	31	0	1	0	0	0	0	1	0	0	0	0	0	11	0	2	0	2	0	300	326	0	1	2	0	290	2	0	0	0	0	27	0	0	284	2	3
6	7	60	29	2	55	51	4	3	0	2	8	0	56	43	8	11	7	15	26	0	8	6	7	7	5	9	3	3	4	0	3	1	0	19	2	0	4	4	0	0	0	1	2	2	0	1	6	4	98	3	4	4	1	0	1	0	3	0	3	0	4	3	30	1	2	3	3	1	7	10	0	0	2	0	0	0	0	8	0	3	5	3	2	2	3	0	0	39	0	0	0	0	0	0	1	0	0	0	2	0	6	0	13	0	2	0	2	0	1	1	3	0	1	3	3	3	3	0	10	2	0	0	13	1
2	3	0	12	0	2	1	1	0	4	0	0	0	5	9	1	1	0	0	1	0	0	0	0	2	4	3	7	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	2	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
3	1	3	12	1	0	7	4	1	10	0	1	1	0	2	0	0	0	5	0	0	0	1	1	2	0	6	5	0	0	0	0	0	0	2	0	0	0	6	0	4	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
11	3	3	5	0	1	5	1	1	4	0	0	1	9	31	0	0	0	4	3	0	0	0	1	2	0	4	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	1	2	0	0	0	0	0	7	0	2	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	1
17	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1	11	5	1	2	2	0	0	0	0	0	0	0	2	16	0	1	2	0	1	1	1	4	1	0	3	6	0	1	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
12	3	0	3	5	1	5	2	0	1	0	2	2	11	13	0	0	2	0	1	0	0	0	0	2	0	1	0	3	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	5	0	3	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	4	0	2	0	0	0
5	18	1	11	0	2	2	5	4	1	1	2	0	2	2	2	0	0	0	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	4	0	0	2	0	0	0	1	1	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	1	1
